,CZ,AF7,AF3,FP1,F1,F3,F5,F7,FT7,FC1,FC3,FC5,C1,C3,C5,T7,TP7,CP1,CP3,CP5,P1,P3,P5,P7,P9,PO3,PO7,O1,IZ,OZ,POZ,PZ,CPZ,FPZ,FP2,AF8,AF4,AFZ,FZ,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCZ,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
FC3,126.1269,126.8464,118.2709,164.6845,84.9588,58.9406,71.1126,107.4802,108.7796,54.037,0.0,54.231,78.6448,59.1354,85.5862,133.7199,168.8846,127.0472,118.0042,133.8245,186.9358,175.6417,184.7918,207.0604,257.2353,232.9571,246.2722,279.732,364.3213,308.2921,255.8535,205.8543,160.5895,203.3249,240.8319,279.0788,214.553,158.4172,122.9837,167.9673,213.0469,259.2798,305.601,329.2188,275.0455,220.0023,166.0271,110.0045,177.1158,231.6398,289.0848,344.0959,353.7527,300.8471,249.6478,203.3347,235.185,269.429,310.8504,353.3624,410.7578,347.1901,292.515,331.7303
FC5,177.5528,120.2206,141.1134,180.7595,128.0352,86.4002,63.3246,74.3303,54.5894,108.2266,54.231,0.0,123.8225,81.2158,64.4981,91.9348,144.8482,161.4435,133.9328,127.0039,215.5226,192.7719,188.2897,199.1105,241.4808,252.004,251.6764,296.9394,388.7531,335.7752,287.3882,242.7694,204.4016,233.3495,280.6795,326.6711,260.0346,196.9188,171.4526,218.2842,264.3672,310.8456,357.1288,383.064,329.0,274.0657,220.1454,164.1097,230.0804,285.2718,343.0233,398.1771,406.096,352.6613,300.3415,251.9563,277.2382,315.1587,358.6154,402.1244,459.1089,390.387,332.3432,367.8505
C1,60.0083,200.0325,171.5721,219.3855,116.5204,121.758,148.3846,186.0349,175.4537,57.0351,78.6448,123.8225,0.0,56.0,114.0,172.0,175.5591,56.0357,79.3095,124.1692,117.516,121.758,148.9463,184.6212,241.1493,171.6566,201.3082,218.3873,293.9813,236.2308,181.5158,128.7983,82.0244,237.2003,253.6632,269.0019,215.4112,182.4637,127.9062,157.1369,192.6084,234.4717,278.8566,285.9545,232.0022,177.7301,127.0118,82.0244,115.0,172.0,231.0,287.0,285.9545,231.7283,178.059,128.3511,156.5407,191.815,234.7957,278.3738,335.2924,268.7341,214.0093,254.1692
C3,116.0043,183.9918,176.0824,223.1815,133.9589,117.5457,125.9286,153.0,126.4911,81.3204,59.1354,81.2158,56.0,0.0,58.0,116.0,126.1943,80.6226,59.0762,81.0555,134.8258,117.5457,126.1467,151.6476,204.7266,175.8465,187.1817,222.2004,310.1113,255.8066,206.3492,161.929,127.9062,256.7022,286.0367,312.7075,253.3969,207.1835,161.2203,199.2486,239.5204,283.5507,328.9757,340.4849,286.2464,231.3871,178.986,127.9062,171.0,228.0,287.0,343.0,340.4849,286.0245,231.6398,180.2498,198.2145,238.6483,284.0158,328.5666,384.6102,311.4001,251.9841,286.681
C5,174.0029,184.6212,198.0934,241.168,170.5315,139.23,126.8464,135.724,85.44,129.2478,85.5862,64.4981,114.0,58.0,0.0,58.0,84.3149,128.8099,84.8646,63.3877,171.2133,139.23,126.6057,134.6291,178.059,197.5905,189.6444,240.2603,335.9658,286.4001,243.2447,206.9034,181.5158,287.2003,326.3817,361.566,298.7742,243.9529,206.3492,248.7087,291.5099,336.6675,382.6082,397.394,343.0233,287.9028,234.7765,181.5158,229.0,286.0,345.0,401.0,397.394,342.8382,288.1059,235.9873,247.4126,290.5942,337.2314,382.2565,437.3888,359.4691,297.3819,327.1238
T7,232.0022,202.5957,232.8197,270.6326,216.6679,177.9916,151.8223,141.9894,72.9932,183.0983,133.7199,91.9348,172.0,116.0,58.0,0.0,70.859,182.7895,132.8232,90.5207,217.205,177.9916,151.2382,141.3542,168.003,232.1422,208.8564,269.824,369.1951,324.5628,287.2003,257.1478,237.2003,325.2691,371.431,412.7978,347.9224,287.8003,256.7022,301.2308,345.4186,391.1739,437.3568,454.5789,400.1512,344.9116,291.431,237.2003,287.0,344.0,403.0,459.0,454.5789,399.9925,345.0811,292.6055,299.7749,344.4779,391.8074,437.0492,491.3461,410.1146,346.5602,372.2392
TP7,232.125,263.7954,282.2942,324.6922,253.3377,223.5442,208.1658,207.6391,142.0035,206.6349,168.8846,144.8482,175.5591,126.1943,84.3149,70.859,0.0,163.6001,108.5587,54.4518,178.3059,132.2573,93.4773,72.4707,98.732,177.5303,143.2201,209.3036,309.716,270.6326,241.5885,223.5755,219.3285,371.431,408.7077,438.8633,378.6093,327.1238,286.0367,325.3998,365.4655,408.945,453.9273,460.1358,406.7087,353.0227,302.4913,253.6632,284.7385,340.2778,398.201,453.4358,438.0011,384.0638,329.1838,276.306,269.1357,316.5091,364.8698,410.0256,460.9772,372.8337,307.7028,326.0383
CP1,81.3204,252.7232,227.5632,275.4088,172.2353,176.3661,198.1565,231.0433,206.4655,113.0,127.0472,161.4435,56.0357,80.6226,128.8099,182.7895,163.6001,0.0,55.0818,109.2245,61.6604,71.5612,109.0183,150.7481,207.7715,116.2497,152.1217,162.693,238.8996,181.8378,128.8099,81.3449,56.0357,291.431,302.4913,308.185,261.0939,235.7477,178.986,200.9975,229.6301,266.8501,308.2937,302.9092,251.4776,201.3753,158.3919,127.0118,126.115,178.986,235.7477,290.4497,275.4088,221.1108,166.0271,113.0044,118.8486,161.929,209.0287,254.2597,308.8122,231.6074,171.406,206.6349
CP3,127.9414,242.86,233.2831,280.863,186.3357,175.7299,184.456,207.9928,169.1449,128.3783,118.0042,133.9328,79.3095,59.0762,84.8646,132.8232,108.5587,55.0818,0.0,54.1479,86.3713,59.203,71.1126,105.3613,162.1142,118.2709,129.2478,163.9543,254.9216,203.0296,158.3982,124.3262,111.0045,309.5836,331.7303,348.0,294.5437,257.1867,205.548,236.4445,270.9465,311.437,354.7464,354.683,302.1672,250.06,202.7659,161.2762,178.059,232.607,290.0638,345.0811,330.2181,276.029,221.0,168.0119,167.3708,213.0469,260.9693,306.3234,359.5622,277.3085,214.0327,242.3304
CP5,178.8435,246.1727,251.8035,297.2541,214.3945,192.2004,187.542,199.1105,145.031,162.1142,133.8245,127.0039,124.1692,81.0555,63.3877,90.5207,54.4518,109.2245,54.1479,0.0,129.769,87.8009,64.2573,73.7631,124.0202,141.8732,126.6057,181.276,279.6087,234.0534,197.7524,173.0,165.0757,336.2648,367.0817,391.3719,333.7664,287.9601,241.9793,278.2265,316.2278,358.6154,402.995,406.7087,353.5944,300.443,251.002,204.6118,230.7661,286.0245,343.8212,399.005,384.0833,330.0,275.0291,222.0811,217.8004,264.5695,312.8082,358.1089,410.2012,324.6167,260.0346,282.8993
P1,127.7693,313.4278,289.083,336.8561,233.0,237.8928,257.7518,287.7933,254.8764,174.2326,186.9358,215.5226,117.516,134.8258,171.2133,217.205,178.3059,61.6604,86.3713,129.769,0.0,48.0104,95.1893,139.0432,190.9372,59.9333,111.8258,103.8123,177.6091,121.4619,72.3464,47.0425,75.4321,350.1685,355.7879,352.3464,312.0,293.7839,235.7329,251.6227,273.7152,305.655,343.2098,325.7299,278.7562,235.1042,201.3405,181.2015,156.5407,199.0226,249.1766,299.7749,269.9481,218.7693,167.3708,120.0666,93.0,141.0,189.0952,233.6193,283.0071,194.9974,130.269,155.9744
P3,151.9803,301.5294,287.9201,335.8586,236.9135,232.0,243.3865,266.9869,224.662,177.3415,175.6417,192.7719,121.758,117.5457,139.23,177.9916,132.2573,71.5612,59.203,87.8009,48.0104,0.0,47.5184,91.7824,145.6022,59.2368,80.6226,104.7855,196.9772,147.6279,110.2769,95.0053,111.3059,358.805,373.43,379.3481,332.5553,304.2137,248.8473,272.5307,300.6476,336.5947,376.7784,365.4655,316.2278,268.8885,228.8777,198.2448,191.2067,239.0335,292.0274,344.1395,317.2081,265.3469,212.7769,163.0491,141.0035,189.0026,237.1034,281.5759,330.4421,240.7094,175.5135,195.3586
P5,190.0316,305.0016,302.2185,349.2921,257.1886,243.5775,246.002,261.725,209.2869,199.4893,184.7918,188.2897,148.9463,126.1467,126.6057,151.2382,93.4773,109.0183,71.1126,64.2573,95.1893,47.5184,0.0,44.3847,99.7296,84.0536,63.3877,118.6002,218.3438,177.2005,150.2165,142.2252,156.1698,380.4905,402.3779,415.3372,364.2266,328.2986,276.2843,305.3211,337.2966,375.6301,417.3104,409.8256,359.4691,310.266,266.9176,230.0543,233.9444,284.0158,338.1627,390.858,364.7259,312.8082,260.0,209.6592,188.0957,236.0763,284.0,328.1844,375.9495,284.2974,219.1004,233.6343
P7,230.6382,319.0486,325.2599,370.9515,285.5591,265.7066,260.7393,269.0019,208.6265,230.4821,207.0604,199.1105,184.6212,151.6476,134.6291,141.3542,72.4707,150.7481,105.3613,73.7631,139.0432,91.7824,44.3847,0.0,57.2014,117.9534,72.1388,141.6051,241.4788,207.9663,188.8624,185.9731,200.0025,408.3148,435.4699,453.3222,399.4859,358.4327,309.401,341.7441,376.0332,415.7403,458.2598,453.0353,402.1244,351.9787,306.8892,266.6252,276.6225,327.6538,382.2565,435.146,408.8826,357.1288,304.3846,253.9547,231.6247,279.5174,327.185,371.0,417.5548,324.3594,259.5092,269.7425
P9,287.8368,361.3862,374.4356,418.7708,338.3962,314.8841,304.5997,306.3234,240.3518,285.0439,257.2353,241.4808,241.1493,204.7266,178.059,168.003,98.732,207.7715,162.1142,124.0202,190.9372,145.6022,99.7296,57.2014,0.0,158.0285,97.6729,167.6305,261.1972,238.9184,231.0346,237.0021,255.8535,460.1793,490.2754,510.0833,455.3427,411.8762,364.5339,398.1168,433.0139,472.9144,515.459,509.5302,458.9553,409.0929,364.0673,323.1671,333.4187,383.7304,437.5386,489.7183,460.3357,409.684,357.9972,308.6503,281.6558,328.9772,375.7047,418.3838,462.0043,366.4928,303.0066,306.276
PO3,187.6406,359.4899,342.0015,390.0051,288.1753,287.842,301.7615,326.1978,282.9735,228.6329,232.9571,252.004,171.6566,175.8465,197.5905,232.1422,177.5303,116.2497,118.2709,141.8732,59.9333,59.2368,84.0536,117.9534,158.0285,0.0,63.7887,47.0425,138.4377,93.2363,73.0068,92.0054,134.5288,407.5905,415.3902,411.9466,371.8602,351.6603,294.2006,311.4643,333.4187,364.4462,400.8952,379.2466,334.4682,293.1382,261.0939,240.3539,214.8046,253.3969,299.5947,347.0519,308.6487,261.358,214.553,172.9046,130.679,175.5135,220.293,261.6295,304.0016,208.6145,145.0034,151.7893
PO7,231.8146,368.0489,362.5162,410.0256,314.56,304.6375,309.0582,325.0262,271.0221,255.5191,246.2722,251.6764,201.3082,187.1817,189.6444,208.8564,143.2201,152.1217,129.2478,126.6057,111.8258,80.6226,63.3877,72.1388,97.6729,63.7887,0.0,71.5542,170.0,141.6827,135.724,152.532,186.0349,437.3568,453.9273,459.2004,413.1743,383.544,328.9757,353.119,380.4064,415.0614,453.9626,437.4529,390.5125,345.7759,308.2937,278.8566,267.32,310.8006,359.8055,408.7689,372.211,324.236,275.9601,231.3115,193.706,239.1694,284.0739,325.1846,366.3496,270.0019,207.6174,208.6265
O1,230.8463,406.0788,389.0013,437.0,334.8612,334.8612,348.1106,371.26,325.1292,275.4088,279.732,296.9394,218.3873,222.2004,240.2603,269.824,209.3036,162.693,163.9543,181.276,103.8123,104.7855,118.6002,141.6051,167.6305,47.0425,71.5542,0.0,100.4191,71.8471,84.5991,125.1,175.0457,453.5912,459.1841,451.8241,414.7975,397.394,339.507,354.5659,373.873,402.3779,436.644,409.4154,367.7227,330.0561,302.0017,284.986,252.8003,285.9178,327.2002,370.8423,325.1292,282.3491,240.9191,205.6818,154.5639,193.458,233.2252,270.3794,305.7908,208.3195,150.841,142.0035
IZ,289.0017,490.9827,464.7688,512.0869,406.8415,415.2493,434.8391,462.4911,421.3799,349.677,364.3213,388.7531,293.9813,310.1113,335.9658,369.1951,309.716,238.8996,254.9216,279.6087,177.6091,196.9772,218.3438,241.4788,261.1972,138.4377,170.0,100.4191,0.0,59.0085,116.0043,173.0029,230.0022,518.001,511.6737,489.4497,464.6127,461.0011,402.0012,406.7247,415.7656,435.1368,461.686,420.006,388.3298,362.763,348.3691,346.0014,293.3939,309.3752,335.4519,367.3255,307.5923,278.4259,253.6178,237.691,176.8219,194.6535,217.0392,240.7094,258.5034,167.8005,137.7135,98.2904
OZ,230.0087,434.5135,406.4283,453.5912,348.1867,357.8407,379.1899,408.7689,371.6517,291.431,308.2921,335.7752,236.2308,255.8066,286.4001,324.5628,270.6326,181.8378,203.0296,234.0534,121.4619,147.6279,177.2005,207.9663,238.9184,93.2363,141.6827,71.8471,59.0085,0.0,57.0,114.0,171.0,459.0,453.4358,433.5678,406.6067,402.0,343.0,348.3231,358.805,380.1184,408.7689,371.431,336.2648,307.3581,290.4497,287.0,235.9873,255.8066,287.0017,323.8549,270.0463,234.0534,202.4846,181.1988,121.0785,146.219,177.2005,208.8564,238.4156,141.3825,93.086,71.7008
POZ,173.0116,381.0472,350.4754,397.394,291.8099,303.2639,326.9648,358.9499,327.2002,235.7477,255.8535,287.3882,181.5158,206.3492,243.2447,287.2003,241.5885,128.8099,158.3982,197.7524,72.3464,110.2769,150.2165,188.8624,231.0346,73.0068,135.724,84.5991,116.0043,57.0,0.0,57.0,114.0,402.0,397.2166,380.1184,350.6822,345.0,286.0,291.9726,304.2137,327.8674,358.9499,327.1238,287.9601,254.951,234.7765,230.0,181.1988,206.3492,243.9529,286.4001,241.168,197.7524,157.6991,128.3511,71.7008,108.9082,150.2165,189.842,231.0087,135.8308,72.0278,85.1469
PZ,116.0172,328.7704,294.9237,341.463,235.7329,249.7719,276.6315,311.6023,287.2159,180.8867,205.8543,242.7694,128.7983,161.929,206.9034,257.1478,223.5755,81.3449,124.3262,173.0,47.0425,95.0053,142.2252,185.9731,237.0021,92.0054,152.532,125.1,173.0029,114.0,57.0,0.0,57.0,345.0,341.2565,327.8674,295.1694,288.0,229.0,235.9343,250.697,277.4923,311.6023,287.3273,243.4461,205.0098,179.9361,173.0,128.3511,161.929,207.7354,256.2538,223.3764,173.0,123.4342,81.3204,46.0435,94.0213,142.2252,186.9679,237.4574,153.0,90.6035,125.9246
CPZ,59.0339,278.3541,240.0521,285.9545,180.236,198.2448,229.4384,268.0392,253.8188,127.9101,160.5895,204.4016,82.0244,127.9062,181.5158,237.2003,219.3285,56.0357,111.0045,165.0757,75.4321,111.3059,156.1698,200.0025,255.8535,134.5288,186.0349,175.0457,230.0022,171.0,114.0,57.0,0.0,288.0,285.7079,277.4923,240.3539,231.0,172.0,180.4993,199.1231,230.2281,268.0392,254.1692,205.2048,159.8624,127.0118,116.0,81.3204,127.9062,182.4637,236.2308,219.3855,165.0757,110.0045,57.0088,74.8131,110.982,156.1698,200.9278,256.7197,186.7244,133.1465,175.9602
FPZ,229.0087,148.9463,93.086,71.8471,123.3086,148.3947,177.0028,208.8564,269.236,181.8378,203.3249,233.3495,237.2003,256.7022,287.2003,325.2691,371.431,291.431,309.5836,336.2648,350.1685,358.805,380.4905,408.3148,460.1793,407.5905,437.3568,453.5912,518.001,459.0,402.0,345.0,288.0,0.0,70.859,149.2716,93.8616,57.0,116.0,123.6932,147.6279,176.4001,208.8564,270.6326,234.0534,204.1666,182.7895,172.0,236.9578,256.7022,287.8003,324.5628,372.2392,336.2648,309.2265,292.6055,350.0357,359.5066,380.4905,408.7689,461.9102,438.3081,406.4283,454.5789
FP2,228.3594,214.2195,149.8933,141.0,155.8782,194.5096,231.8124,269.429,323.3466,205.2316,240.8319,280.6795,253.6632,286.0367,326.3817,371.431,408.7077,302.4913,331.7303,367.0817,355.7879,373.43,402.3779,435.4699,490.2754,415.3902,453.9273,459.1841,511.6737,453.4358,397.2166,341.2565,285.7079,70.859,0.0,80.5295,48.0937,83.7616,126.1943,105.3233,105.019,118.6002,143.2201,210.0119,181.7966,165.8945,163.6001,175.5591,219.3855,223.3764,242.0124,270.6326,326.0383,297.5718,280.863,276.306,336.8561,336.8561,349.4968,371.571,421.0012,411.1703,389.0051,438.0011
