FC1,FC2
-2.068,-1.8179
-2.3979,-3.2393
-2.0716,-3.9419
-0.5892,-3.8634
-0.0756,-5.0349
-0.5308,-5.8315
1.7951,-2.5032
3.0582,0.6688
1.8837,0.6532
2.1464,1.3251
1.9401,0.4343
2.1712,-0.7378
2.7771,-1.8163
2.9765,-3.3947
4.207,-3.067
3.7498,-1.5831
1.0735,-3.4431
3.2409,-2.9281
3.0644,-2.5069
-2.2998,-4.9296
-2.7267,-5.2275
0.1898,-3.4942
1.0125,-2.136
0.8975,-2.6215
1.4698,-4.3884
1.417,-5.3741
-1.0422,-6.266
-4.4391,-8.8143
-6.9611,-11.3627
-8.5458,-12.1612
-11.1307,-13.1473
-10.5283,-12.7586
-8.2074,-11.1825
-6.293,-9.669
-5.3163,-7.4055
-4.2459,-5.7672
-5.0508,-6.5977
-5.8559,-7.7722
-5.1301,-8.3219
-4.5608,-7.8094
-3.7418,-6.6094
-4.3604,-7.9408
-2.1355,-7.1161
-0.817,-6.3852
-2.0612,-8.4981
-3.0557,-9.1424
-2.613,-7.9744
-1.7642,-8.6502
-2.5092,-8.8574
-5.0044,-9.6272
-8.0311,-10.5846
-8.3707,-10.1984
-9.7418,-11.3438
-9.0195,-10.8955
-4.7974,-9.3535
-2.2944,-7.5616
-1.979,-7.8636
-2.1013,-9.1658
-1.8176,-9.5306
-2.784,-10.2394
-6.0007,-11.1358
-7.8427,-11.8761
-4.4662,-9.3354
0.3164,-5.2948
-0.2137,-5.5979
-3.7438,-8.4324
-5.7429,-8.8294
-6.5546,-9.2265
-5.8666,-9.155
-5.0225,-8.5212
-6.3349,-8.7625
-5.21,-8.0352
-4.2728,-6.4955
-4.3047,-5.8935
-2.9931,-6.2916
-1.9003,-6.4396
-0.714,-5.5566
0.0971,-4.9238
-0.7797,-4.8538
-1.7193,-5.2214
-3.3154,-6.3705
-5.0991,-7.6758
-6.5392,-9.45
-6.2607,-9.1306
-5.5137,-8.3425
-2.6106,-6.2107
0.3237,-3.2666
0.8828,-1.5101
1.2543,-1.5036
1.5318,-2.4036
1.1529,-1.9289
-2.0076,-2.7355
-4.7309,-3.2612
-5.9856,-3.9119
-4.7406,-4.4065
-1.6833,-4.2138
-0.4699,-3.2712
-0.0066,-2.6412
-0.4185,-2.3863
0.6694,-0.5377
1.4447,0.5607
1.5009,0.4089
2.8693,1.3819
3.2061,1.0423
5.7301,2.2338
6.0664,3.0502
4.5275,2.9288
4.2696,2.1511
4.9803,2.5919
6.3471,4.97
6.5262,5.348
5.6426,5.6321
5.3213,5.1973
4.4998,2.0436
1.7719,-1.2664
-0.2375,-3.2642
-0.716,-3.6683
-0.726,-4.354
0.2325,-4.7898
0.2844,-5.4133
-0.8825,-6.4745
-2.6433,-7.692
-5.8418,-9.4095
-6.9155,-9.8772
-6.8331,-9.4387
-8.9383,-12.469
-7.3875,-12.3119
-3.6806,-10.3424
-2.2239,-8.9667
-1.7986,-6.7787
0.3766,-3.5908
0.6141,-1.653
0.1951,-1.5591
-2.7241,-4.7778
-5.1745,-6.2466
-5.3439,-6.653
-3.9823,-7.122
-2.5898,-6.9037
-3.4786,-7.3105
-1.9302,-4.9675
0.1492,-2.6248
-0.5528,-1.4696
-1.4424,-1.2832
-2.2383,-2.5344
-1.9718,-3.3483
-1.1431,-1.8811
-0.1897,-0.0702
1.0137,0.053
1.9356,0.0823
1.7947,-0.4199
0.1225,-2.266
-0.2372,-2.1121
-1.7222,-3.2084
-3.9886,-5.3675
-4.3178,-5.3392
-3.5222,-4.061
-4.9769,-4.3767
-5.5256,-5.0675
-6.5744,-5.1647
-7.4985,-5.1057
-7.0164,-5.6407
-8.3158,-8.1446
-13.2716,-11.8049
