FC1,FC2
11.3688,4.076
15.4372,8.7599
19.4116,12.3498
21.9796,13.2523
26.2665,16.1861
29.6785,19.7453
27.1534,17.8985
25.5034,15.7707
22.9157,11.2989
20.1716,9.7957
18.7712,11.7299
19.4959,13.2579
17.8767,12.3795
12.7262,7.6259
10.0443,3.9348
10.3934,3.7435
10.4298,4.646
9.4038,4.4234
8.0965,1.2322
8.5076,0.6657
10.3871,2.9739
13.704,7.2194
15.3958,9.8086
10.9937,5.1165
6.8104,0.2371
8.4083,3.7327
10.3186,7.5408
11.2915,6.8491
10.5146,6.4388
7.0502,4.1537
3.5545,1.6496
3.4023,2.8328
1.4375,2.6721
-3.3712,0.449
-0.2112,5.1009
5.5111,9.0651
2.671,6.5608
-1.3251,2.8692
-0.915,3.0525
-1.3175,4.6108
-2.1263,3.2939
2.2523,7.6957
6.5059,15.5037
6.2596,16.4368
6.2946,14.4012
4.767,14.6782
5.0203,16.6425
3.9296,13.7317
5.2452,13.0396
5.1233,12.9727
0.7198,9.2493
-0.1839,7.7444
1.9436,11.3959
2.5399,15.1724
-1.0513,13.1364
-1.3301,12.0067
-1.6403,12.2208
-1.7945,13.9035
-3.6989,8.9923
-9.0097,1.3936
-12.5707,0.2948
-12.0693,3.352
-7.7243,8.003
-4.1919,12.3726
-3.7845,13.3672
-4.7521,11.9556
-4.2198,12.0753
-5.2189,8.6326
-2.1554,8.5338
-0.4043,9.0601
-4.6847,5.305
-6.684,2.9559
-4.5585,5.8255
-5.8081,6.6324
-6.9015,6.4082
-10.0885,2.653
-14.7753,-1.352
-13.7744,0.1745
-13.6799,0.4824
-13.898,-2.0847
-14.1165,-3.6209
-16.3976,-6.6261
-18.9601,-8.7563
-21.1164,-9.7615
-20.6789,-9.8291
-12.2726,-2.584
-4.085,5.7238
-3.0538,7.2191
-5.5538,4.3707
-11.2727,0.5224
-16.1167,-3.2635
-15.2422,-4.9559
-9.4306,-0.4611
-5.9317,3.9085
-5.4954,4.903
-6.0593,5.5536
-3.2796,6.3605
-6.5627,2.2922
-12.0022,-2.9011
-11.754,-3.2818
-8.8185,-1.2562
-6.4457,-1.4809
-6.6355,-1.2369
-9.6069,-1.5868
-8.8597,-0.0306
-5.7375,2.9318
-1.5843,6.0815
-2.6813,5.4187
-3.6846,4.506
-1.4377,4.4685
-3.2845,2.275
-8.5378,-2.5437
-12.2287,-7.3
-8.1071,-3.0875
-6.7357,0.0936
-11.4896,-2.8818
-15.1185,-6.232
-13.935,-6.6758
-16.1265,-11.0883
-18.849,-13.9382
-17.4779,-11.2256
-16.5444,-10.9194
-12.2361,-8.9569
-8.6155,-4.9947
-8.2139,-2.1576
-9.1875,-2.1332
-12.1924,-6.5775
-16.1035,-11.3967
-20.5149,-15.6846
-23.4888,-18.3476
-22.8065,-18.1668
-22.2181,-16.7986
-23.0363,-15.7431
-19.0421,-11.3127
-17.048,-7.0386
-16.6789,-3.8894
-13.3411,-0.0214
-15.3162,-3.0597
-17.854,-6.0669
-14.8607,-4.2617
-8.7739,1.6372
-8.5624,3.5984
-12.8199,0.5282
-13.8274,-0.917
-11.0226,1.1066
-10.7802,0.7241
-14.4754,-2.7835
-16.2645,-5.0098
-14.9914,-5.205
-15.2809,-4.8378
-11.6333,-1.0957
-10.2984,-1.6976
-16.9011,-6.8933
-19.0352,-7.8704
-16.2006,-6.2848
-17.6472,-4.8554
-15.4065,-1.0511
-8.6033,6.1596
-7.9565,7.339
-10.0598,5.6122
-9.6005,4.8542
-8.5788,4.1275
-8.4322,3.6819
-9.3795,2.455
-10.2017,-0.5843
-7.8679,-0.0612
-6.0654,2.8681
-5.8883,4.5785
-5.5864,4.0701
-6.1597,4.4052
-7.3269,3.0216
-8.0253,1.3255
-10.8177,-1.4018
-13.7039,-4.6292
-15.2154,-5.7631
-14.7584,-5.2095
-13.864,-4.4373
-11.9696,-4.0401
-7.7629,0.5135
-7.4313,1.5984
-5.0373,3.152
0.3565,6.7992
4.5938,12.2275
1.987,11.8118
-1.0888,10.2396
0.3037,10.7609
2.0086,13.2508
4.2134,16.022
3.2307,14.762
-2.3461,11.5958
-7.3604,6.9608
-10.1562,3.4821
-10.921,3.7531
-10.0613,3.555
-7.5772,4.2002
-5.9684,5.0951
-7.4222,4.6149
-5.0636,6.666
-1.6427,9.1544
-2.7843,8.6117
-5.0197,5.9753
-6.1303,1.9952
-8.4598,-1.4226
-11.1334,-3.7781
-9.4321,-3.8213
-9.6686,-6.0833
-12.3116,-7.6581
-10.7046,-5.0453
-6.5663,-1.6823
-7.0219,-1.7567
-9.6027,-3.1125
-12.2772,-7.1244
-11.6394,-6.2302
-14.4082,-9.1175
-18.1147,-13.9112
-16.5404,-11.8303
-14.4352,-8.406
-11.549,-5.3567
-8.7879,-4.7139
-5.3084,-1.7585
-11.9229,-6.7408
-16.9123,-12.6919
-18.8082,-16.3618
-21.7669,-19.7508
-20.1007,-17.7337
-18.1535,-13.5293
-16.2376,-11.0748
-9.2906,-6.5892
-6.4688,-3.8849
-6.3035,-2.5869
0.5806,4.4614
5.5274,7.3847
5.0056,4.9332
-1.7664,-2.2371
-8.2885,-7.5326
-9.4983,-9.2031
-7.5209,-8.5301
-5.2626,-6.7947
0.6206,-2.8095
1.441,-0.8244
-0.0825,-0.2769
-1.3562,-0.8545
1.6513,0.5367
2.0651,-1.9783
-0.8025,-6.1185
0.9859,-5.4465
2.7426,-6.0248
2.7178,-4.7907
6.7241,0.1933
5.074,-1.2915
2.0487,-3.8701
-4.3517,-9.1675
-9.6272,-15.6838
-9.9967,-18.1065
-10.0227,-17.5293
-9.2363,-16.921
-7.7313,-17.1565
-6.2265,-16.017
-5.4404,-15.065
-5.5917,-14.1441
-5.8681,-12.8169
-8.8635,-15.3648
-9.8903,-15.5692
-7.5735,-12.9924
-2.3194,-7.572
-2.8155,-8.2143
0.4069,-3.888
3.6603,0.5944
8.3196,6.3266
15.01,13.3712
17.2003,15.1345
16.6718,14.4917
17.4559,14.5677
15.0213,12.2064
12.5241,11.1263
8.7453,7.7958
7.0285,6.2773
6.1238,5.4772
5.9686,7.8955
8.9381,10.3135
5.095,4.1691
3.2208,1.8062
6.5966,2.9746
6.6598,3.5805
6.9105,5.1552
9.0673,7.7922
10.4114,8.3666
11.099,8.2534
11.5991,10.5151
12.9428,12.2143
12.7554,11.2261
6.9116,4.5504
-1.1511,-4.4691
-3.9015,-8.3638
-0.2146,-3.7275
6.0969,2.7211
9.5333,4.9195
10.907,6.2741
10.5618,6.7224
11.0291,8.2332
15.465,12.1814
18.432,13.6608
13.6802,7.984
5.8346,1.3697
4.4886,-0.6824
1.7988,-4.6097
-3.3911,-8.912
-5.581,-11.1206
-5.7711,-11.9543
-5.055,-10.2568
-2.8074,-8.0904
-3.7787,-9.5178
-6.9687,-14.5701
-4.5026,-14.9975
-5.3806,-15.6125
-7.6963,-17.0403
-3.6059,-14.0932
-2.0468,-10.6774
0.6996,-5.3554
6.8208,0.6538
5.223,-0.9623
4.3125,-2.5471
0.1206,-7.2572
-2.8839,-11.0923
-0.7634,-9.7088
0.388,-8.4816
-2.0232,-10.6609
-3.8094,-12.4651
-3.9395,-13.1133
-6.5075,-15.2306
-3.0757,-10.7855
1.4186,-6.7155
-0.9934,-8.6767
-5.2805,-14.0754
-6.2551,-16.9117
-7.7612,-17.5606
-10.2362,-18.4285
-11.3049,-18.2653
-12.1237,-17.4771
-13.505,-18.4389
-12.0114,-16.807
-8.8617,-12.6753
-5.1811,-9.8249
0.812,-5.3496
2.7112,-4.2495
1.985,-4.7121
1.5399,-5.5188
1.8446,-3.6694
1.0866,-3.6639
-0.4217,-5.6899
2.5386,-5.0598
1.4988,-6.1798
-0.0412,-5.0812
-0.8002,-6.264
-1.8093,-8.1032
-1.9747,-6.6924
-8.2026,-11.3129
-11.5556,-15.3085
-11.4087,-14.898
-13.1685,-14.9879
-13.1782,-14.5779
-13.5317,-15.6678
-10.3851,-12.664
-7.4263,-9.4103
-5.6237,-7.2816
-2.2587,-5.0905
0.2938,-3.4306
2.7837,-1.2084
3.711,-0.6426
-2.6746,-3.2334
-7.4042,-5.6057
-3.7901,-2.0719
-4.3013,-2.3508
-9.6564,-7.661
-11.2928,-8.6586
-8.5852,-5.5621
-8.0963,-5.8719
-8.92,-6.2444
-6.9004,-4.1174
-6.3496,-3.803
-7.9239,-5.4261
-5.342,-4.1431
-4.7291,-3.3289
-9.6477,-6.6399
-17.2539,-14.2323
-20.5788,-17.2934
-22.404,-19.0422
-24.4794,-21.0726
-24.2111,-21.5093
-22.1303,-19.6962
-17.7372,-14.7896
-14.4693,-9.9144
-9.7015,-6.0392
-6.7776,-4.6329
-6.5726,-5.6329
-7.5551,-6.383
-6.7875,-5.8831
-6.4575,-6.227
-4.7522,-6.727
-3.9218,-6.5708
-3.2478,-3.5396
-4.8865,-2.915
-6.369,-4.4154
-10.5078,-9.1658
-13.2092,-12.2601
-12.3169,-11.3233
-8.7998,-8.2928
-8.8767,-8.0751
-10.3288,-9.2641
-6.1247,-5.6095
-5.8582,-5.3924
-5.3728,-5.1752
0.1752,-1.5205
6.0981,4.0405
8.4272,7.6013
8.6623,7.3183
8.4285,5.2851
2.9758,0.1891
-1.9147,-3.5635
-1.4302,-4.4413
0.1479,-2.4754
3.0697,3.2716
8.6477,5.8623
11.6318,6.5155
6.8347,1.6999
6.3502,0.978
9.3032,3.2562
8.8188,4.5031
8.2406,5.4374
7.8189,4.0904
9.8344,6.837
11.4749,11.0834
10.3028,10.5486
11.0994,10.2324
10.3023,10.1037
7.8488,8.0998
6.7702,6.4083
6.2541,5.8103
5.8941,5.8997
3.8465,3.7077
2.674,1.7343
0.6261,1.3543
4.9215,7.2863
10.8732,12.0932
11.3874,11.2753
9.2141,9.0824
7.0409,6.4833
4.6489,3.2591
4.5695,3.0348
7.1776,8.0603
8.1607,9.7107
9.3002,11.2986
14.0333,17.0428
16.7038,19.8805
17.343,19.1556
15.0759,16.4307
