CP1,CP2
15.9633,12.66
18.497,13.8494
19.5308,14.8826
20.5647,16.5411
19.724,14.8561
20.6021,11.0461
19.0112,6.4546
17.4202,6.0503
19.3603,7.4584
18.0816,6.4288
14.3339,4.2426
8.6485,0.3063
7.1816,-1.7863
7.5894,-1.254
7.7781,-0.6596
10.1543,-0.4715
9.4367,-2.5959
6.5937,-2.6896
5.7192,-1.7213
7.5005,2.9342
8.5942,6.277
8.844,3.7134
9.6875,1.4311
10.8747,4.9925
13.1244,8.8976
12.7179,8.0216
8.8741,7.3019
5.2491,5.8634
2.2489,2.2372
-0.5327,1.4233
-3.0334,1.234
-5.878,1.1384
-1.285,4.6678
2.964,4.4157
-0.0996,-1.3676
-4.1005,-5.6821
-3.4764,-4.8405
-5.4149,-4.2802
-7.6661,-5.939
-5.0423,-2.004
-3.1374,4.6496
-3.67,5.1156
-3.2965,3.3004
-2.3294,4.9538
-1.6439,7.4507
-5.0524,3.7912
-5.617,1.7567
-5.088,0.4721
-6.6844,-2.094
-5.6873,-2.9729
-3.3152,0.1793
-3.0058,3.8627
-7.9151,2.5773
-6.9808,2.448
-3.6406,3.5061
-1.1755,4.4391
-2.148,-1.4719
-6.6832,-8.758
-9.0,-10.732
-6.5357,-7.6124
-3.4154,-1.0555
0.8921,4.9699
1.3246,6.0889
-2.8366,2.8018
-4.404,0.2647
-6.5341,-4.0537
-3.9769,-3.747
-3.1072,-4.253
-6.4566,-7.9467
-8.1188,-9.4219
-5.5312,-5.5535
-9.3812,-4.3415
-12.1687,-5.317
-11.7687,-7.0424
-12.0249,-8.8303
-10.3748,-8.3993
-7.0685,-8.3433
-6.6374,-9.4435
-7.5191,-10.6066
-8.9949,-12.0513
-9.1583,-11.4338
-10.4156,-11.9101
-9.7353,-12.0114
-2.1486,-5.3626
1.6881,1.3488
1.2743,2.31
-1.7958,-1.5413
-6.8348,-6.2677
-10.8428,-11.3068
-11.0076,-12.5027
-7.079,-7.4177
-6.8694,-4.0204
-7.5351,-3.0296
-5.326,-3.0702
-4.8671,-2.6735
-11.9084,-7.7457
-15.5747,-11.0991
-13.3973,-8.8588
-9.1574,-6.3063
-8.3866,-6.879
-5.8035,-5.7331
-3.877,-3.775
-2.1384,-1.0672
0.6624,0.7966
7.9631,5.879
10.7635,6.6801
12.7825,7.1374
11.4263,6.6259
5.1325,2.9269
-1.0052,-3.0535
-3.018,-8.1278
0.1878,-5.2646
-1.1694,-1.7455
-4.6519,-4.5704
-4.9782,-8.7702
-3.9609,-10.0636
-7.0374,-13.3883
-8.7076,-13.3067
-6.6903,-8.2251
-6.642,-7.9874
-4.844,-7.5311
-4.2964,-6.8251
-4.4992,-4.7133
-5.7022,-4.3516
-9.3114,-7.1461
-15.4832,-12.0968
-21.4053,-16.5164
-24.9838,-18.8111
-26.6561,-17.8872
-26.0162,-15.4947
-24.8454,-15.0713
-19.3626,-10.6795
-17.8174,-5.9128
-15.9599,-1.6462
-11.0712,2.6829
-15.4016,-0.6446
-21.0761,-4.6598
-18.0946,-3.3003
-8.1446,2.8404
-6.32,3.887
-12.3708,0.4022
-13.0468,0.2923
-7.6917,4.9635
-7.1803,6.1033
-11.4816,2.2119
-13.408,0.7892
-16.991,0.0538
-20.4806,0.4744
-16.1893,3.4573
-13.2107,2.2525
-15.2635,-3.2961
-16.1601,-5.3137
-16.2756,-5.1438
-16.9224,-3.599
-13.2256,1.0394
-7.81,6.9591
-8.1133,6.4726
-9.0106,4.0485
-9.6266,1.7806
-13.0865,1.2315
-16.4214,0.0885
-17.569,-2.3671
-17.7793,-4.9478
-16.3648,-2.9348
-12.8566,0.3908
-11.63,0.7786
-12.1226,1.7598
-13.2092,2.9284
-13.2961,2.347
-11.7268,1.578
-14.064,-1.5034
-18.0263,-5.1788
-19.3953,-5.3544
-18.6708,-3.499
-16.5402,-1.3938
-13.5348,0.43
-12.2484,2.2225
-12.3996,-0.6412
-7.4572,-0.6613
-2.9838,2.4434
-1.167,7.0791
-5.5067,5.5271
-11.1281,2.8499
-12.2813,1.4848
-10.6221,3.3071
-7.0255,5.9733
-7.9291,4.1395
-16.6767,-0.6631
-22.2994,-4.2468
-23.3599,-5.2369
-22.6084,-4.1022
-18.3886,-5.1867
-13.6692,-4.8967
-11.3878,-4.482
-12.294,-6.4112
-11.013,-6.1844
-10.0134,-3.3952
-9.6392,-2.4498
-11.1715,-4.7545
-13.2352,-9.9967
-13.9553,-13.4264
-13.2695,-13.8252
-10.7714,-12.693
-13.2423,-15.811
-19.9324,-19.6167
-19.2163,-19.1725
-13.4378,-16.447
-13.7531,-15.3465
-19.1937,-18.5585
-23.2906,-23.2703
-21.7939,-21.8573
-26.2037,-23.5694
-30.4576,-25.4068
-24.7432,-20.7446
-21.4669,-17.1453
-20.097,-14.5148
-18.946,-16.2594
-16.6391,-15.1605
-23.3325,-18.3743
-29.4009,-23.3069
-30.4382,-25.9272
-33.632,-28.0791
-33.7011,-25.1999
-33.4891,-21.0086
-31.5898,-17.7236
-23.6908,-12.6887
-19.0733,-10.1538
-20.0186,-9.6504
-14.1515,-3.3654
-8.7843,0.1386
-10.1358,-0.2323
-15.1749,-7.1345
-20.1829,-13.0368
-21.0348,-14.2518
-17.3245,-13.3107
-16.1147,-11.3699
-15.655,-6.4916
-15.2893,-4.5196
-15.9863,-6.6729
-16.9023,-8.295
-14.2559,-6.167
-14.9846,-6.9453
-14.7136,-10.4114
-10.7867,-8.0965
-10.7351,-7.0005
-11.3399,-7.5295
-7.5074,-4.3712
-9.019,-6.9943
-14.0934,-10.7114
-15.4179,-13.5849
-16.7427,-17.5209
-18.8491,-19.176
-16.5496,-16.9875
-12.6253,-15.9866
-10.8573,-16.0484
-12.7457,-15.5789
-12.9467,-14.0156
-12.054,-11.9835
-12.7238,-9.2326
-15.8937,-9.3255
-15.3763,-8.575
-12.4528,-6.137
-7.5922,-2.1367
-6.4819,-3.0741
-5.3719,0.1445
-4.6685,3.5506
1.9722,9.6129
10.2378,16.1126
13.4096,16.8936
12.9873,14.612
14.1586,14.6744
11.705,13.8305
9.9074,14.3303
7.1095,10.611
4.311,9.5787
3.8245,9.0773
2.5873,8.1067
0.7875,7.9798
-5.0123,2.1658
-6.7182,1.3206
-2.8303,3.3818
-1.0363,3.0679
-1.4925,3.0665
-0.2302,5.4087
1.5004,7.8756
3.0433,8.9361
5.3987,11.2466
5.2542,10.9008
5.2658,8.8051
0.2147,2.647
-7.9304,-5.1987
-11.013,-9.3883
-5.5647,-5.9219
2.7895,0.8257
5.5186,3.2293
6.8724,5.133
9.1948,7.8804
12.4858,10.9715
16.1829,15.0937
17.3173,16.3409
13.1393,11.0882
9.711,4.9603
9.0636,3.3323
6.0411,0.1105
0.456,-4.1424
0.3083,-6.0828
1.2856,-7.3044
0.7941,-7.526
-0.1663,-6.935
-4.8767,-7.6251
-9.8061,-10.4715
-7.6418,-9.5055
-5.384,-10.1022
-5.689,-12.9491
-3.7755,-10.0461
0.0755,-5.6432
3.3014,0.0408
7.0894,4.912
6.8459,4.7206
5.821,3.6853
2.2958,-1.9752
0.7081,-6.3857
2.5891,-7.89
3.376,-8.1756
2.2252,-9.2113
1.8244,-10.5283
-1.4203,-11.3767
-6.5404,-12.9754
-3.5047,-9.1368
0.4059,-5.0482
-3.5899,-6.7719
-10.5544,-12.4018
-11.6751,-15.188
-9.3898,-15.6619
-9.7922,-15.5111
-11.351,-16.0791
-11.5035,-14.491
-12.906,-13.7463
-12.0898,-12.0017
-10.2739,-7.7261
-5.4897,-5.1692
1.1067,-1.0499
0.5778,0.5068
-0.2328,1.3133
0.8313,0.4946
3.7078,0.2069
1.178,-1.1747
-6.3834,-6.0877
-6.4137,-7.6572
-6.8817,-10.1017
-9.0061,-8.0462
-11.5058,-7.8972
-12.5368,-9.9357
-12.5678,-9.0679
-16.8177,-11.5127
-18.6301,-13.6762
-20.2866,-14.6835
-21.6935,-15.0661
-18.6317,-12.9174
-17.1326,-13.1125
-13.7898,-10.62
-10.3533,-8.4713
-11.8543,-7.4475
-11.6992,-5.6112
-9.794,-2.7437
-8.7324,-0.6887
-9.6711,-0.0712
-12.4224,-1.4853
-12.2363,-2.7744
-4.9878,2.4051
-4.0832,3.1783
-8.1475,-0.2048
-7.2117,-0.6815
1.0055,4.0297
3.8167,3.7411
4.4404,2.046
5.1575,4.632
2.687,5.5304
-0.3149,2.8351
0.7767,2.6084
1.8995,4.5693
-2.4155,2.3113
-11.7308,-4.978
-16.2024,-7.0172
-19.2992,-8.5878
-18.99,-9.315
-17.2746,-9.886
-16.0906,-8.3008
-10.8757,-3.122
-6.3484,2.0879
-1.2899,6.5479
4.4248,6.9141
3.9205,3.9363
0.6974,2.4273
-0.7132,3.8245
1.0012,5.1594
2.4656,4.0881
0.2738,0.7045
-1.1367,0.6334
-1.7662,1.5622
-2.9895,2.7098
-6.6191,0.8574
-7.03,-0.2138
-4.316,0.0273
-1.9458,0.9247
-3.6069,-0.5218
-3.5809,-2.3748
0.57,0.9284
-0.7476,1.8566
0.6848,1.0349
7.6485,4.9634
14.3621,10.9855
18.3257,14.1641
18.633,11.8113
18.3778,8.8646
11.6224,4.2615
7.2729,1.3142
8.5795,1.1481
7.3237,2.0445
8.1615,6.7533
11.8744,9.6185
14.6186,10.5775
11.0503,7.5365
13.232,7.5269
16.2576,7.2361
17.0332,7.289
20.8088,10.342
24.0534,11.9262
25.7041,14.9791
24.8235,18.2508
20.7241,17.96
19.1246,19.4192
18.8689,20.1911
17.113,19.9316
13.3882,17.8596
11.7884,13.6624
14.2197,12.4964
12.4323,11.7054
7.02,8.883
0.6386,4.0604
3.6944,7.6751
8.8125,13.9772
7.743,14.9983
4.3924,12.1445
4.0421,9.0409
4.223,7.1247
5.8415,6.396
8.2099,8.2609
11.047,9.6569
13.7279,11.1469
16.9089,15.3243
15.6522,16.6579
10.9581,14.3666
8.9827,13.8254
8.6326,13.9407
6.4701,9.4936
4.7762,8.6089
3.2696,8.8489
4.4816,8.4327
6.3812,9.9853
7.4995,13.4126
10.7428,18.9023
15.4862,20.9861
18.7923,21.1951
19.5674,21.2168
19.1552,20.2385
18.5556,20.9789
13.1748,15.9068
11.4814,13.0847
13.3817,15.2626
16.2509,18.9406
19.4638,20.7436
21.2393,22.0466
21.8273,24.506
23.978,26.7781
25.0037,26.144
23.4981,22.1975
21.1177,17.8759
17.5811,14.3044
14.9507,13.4516
8.4765,11.0985
2.8145,7.1202
0.09,4.9856
-2.3218,3.4448
1.4225,4.4978
6.6355,6.0508
8.4112,6.7914
8.6247,6.501
5.1823,0.617
2.2711,-3.1733
-1.8902,-4.3698
-0.8952,-2.8164
-0.6501,-2.8879
0.3451,-3.178
2.278,-4.6243
1.9922,-5.7893
7.769,-0.9855
10.1707,-1.307
7.0099,-6.7849
2.6618,-10.9815
-0.4989,-12.678
4.1527,-8.4685
8.2418,-3.1339
7.6123,-1.3618
12.2956,1.317
18.2916,6.4334
17.8814,4.8311
15.6587,3.7914
13.6239,3.1582
15.3705,2.1814
14.9297,0.1107
15.3639,2.5087
16.9857,5.5319
14.3263,2.7115
14.2295,3.3599
11.0076,1.7271
10.0675,-3.9678
9.7839,-5.4437
7.4692,-5.7322
6.4358,-8.2081
6.6838,-7.6527
5.5881,-5.566
3.9614,-4.7291
7.8662,-1.5481
8.24,-3.1795
2.9576,-7.1234
-0.4809,-7.8484
0.8618,-6.6986
-3.7641,-10.3925
-9.3585,-14.5551
-14.1403,-15.1238
-15.6722,-12.0362
-12.4854,-8.3239
-10.1735,-5.9865
-6.7054,-1.1491
-4.6123,0.6257
-5.3941,-1.0682
-9.3318,-5.9494
-13.5196,-10.6745
-11.301,-8.3996
-4.8009,-3.6558
-2.1444,-0.162
0.262,3.7691
1.0123,7.0127
0.7939,6.4441
0.7006,4.3131
-0.4549,1.1511
-0.9226,-0.542
-6.4528,-5.4539
-9.7329,-9.8971
-11.044,-10.7778
-10.6049,-8.9397
-5.9472,-5.9453
1.5543,-1.3884
2.556,-0.3627
0.4017,-1.0553
4.4353,1.2523
6.0002,1.7788
5.9087,1.0552
2.7861,-0.0748
0.7887,-0.1735
-3.2399,-3.5847
-2.6123,-3.5273
4.8903,1.2488
13.1741,7.4625
16.7706,10.8951
16.3987,9.3279
16.402,9.1674
14.5617,8.5693
10.8153,6.1587
8.444,2.7792
7.4475,2.056
5.2324,0.0203
2.6112,-2.109
0.2406,-2.6443
0.2764,-2.5544
4.5938,-0.6829
8.9427,0.8763
8.823,-1.9395
8.1094,-2.6616
5.021,-4.8838
0.8078,-5.8871
1.6261,-6.2964
7.3198,-5.112
9.8888,-1.5524
9.708,1.7885
5.9336,-0.808
5.8468,-1.6856
9.6665,2.343
11.6737,5.3091
13.3685,7.4625
15.376,9.8973
15.9773,11.2071
13.8912,11.2981
10.2428,7.0456
5.9386,4.4186
0.8846,2.1043
-3.0752,-3.3973
-7.6911,-8.8363
-11.7131,-12.4627
-11.5786,-11.7141
-6.1315,-6.0591
-1.5591,-3.4665
-1.3302,-4.405
-1.0697,-2.4684
3.6595,3.4057
7.4201,7.1549
8.4309,7.8104
4.5044,5.2473
2.7655,3.778
3.4017,1.6837
0.9132,-1.7854
-2.4188,-3.9106
-3.3134,-4.8798
0.6048,-2.1927
-2.0707,-2.8804
-7.0273,-6.068
-6.4211,-6.9428
-9.377,-9.4736
-18.9266,-15.4731
-25.0073,-19.1913
-18.7128,-14.1906
-11.4808,-7.9086
-9.4049,-7.0329
-7.891,-4.5944
-3.7519,-1.6246
-2.5189,-2.061
-1.4419,-1.3721
0.5731,-1.5891
0.8384,-3.3686
3.5725,0.4142
6.4631,3.822
8.5415,7.3864
9.6202,10.8572
10.6366,13.0469
10.8098,14.1745
8.0771,11.1774
4.9385,7.5557
3.1751,6.9342
-1.3694,3.313
-2.7886,0.0043
0.355,0.5707
0.749,0.4498
0.9555,3.6727
3.1933,8.1143
1.9626,7.1188
-0.3615,5.9361
-1.9356,6.3159
-4.4468,5.1646
-9.4265,1.5134
-9.1561,1.7997
-8.2604,2.9922
-8.5519,3.8098
-9.0309,3.69
-11.5723,3.0387
-13.8323,0.5437
-13.2484,-1.4512
-8.0706,0.8978
-0.2676,5.3094
3.3798,8.0028
3.6524,7.0402
5.3941,4.1401
5.4174,2.49
2.0974,-0.3785
-3.4411,-3.7155
-6.8543,-3.1462
-3.2986,2.2671
