CP1,CP2
-3.0391,-7.5236
-3.3682,-5.0869
-4.166,-3.5251
-3.5576,-4.7443
-2.1365,-5.307
-1.1218,-5.7446
-0.4197,-4.682
-0.6864,-4.0882
-1.2344,-3.8694
-2.5325,-4.9317
-5.237,-0.8377
-7.1914,-1.3685
-6.0834,-0.8367
-5.2253,2.1639
-6.2109,2.5396
-5.9465,2.3843
-4.8695,2.9791
-2.4801,3.9803
-0.6531,5.6068
0.0176,8.9522
-0.468,10.1726
-0.3599,9.0493
-0.0643,8.6449
0.5437,4.8971
-0.7233,2.0558
-1.8947,1.6521
-1.0056,3.3736
-0.3665,5.2201
0.1143,4.9418
-0.0905,4.8201
-0.2642,8.0737
-0.563,9.7961
-2.9243,8.2998
-5.7857,5.9285
-5.1784,2.3074
-3.321,-0.3764
-1.0262,-0.4039
0.2375,1.5686
0.1574,3.01
-0.3915,4.389
-0.2217,7.5494
0.1981,8.0225
-0.2259,9.5272
-1.0875,9.5634
-0.7615,8.131
-0.5918,8.7926
-1.3596,9.5481
-0.2837,8.4286
-0.0183,9.2154
-1.7237,14.7836
-5.0541,15.8205
-7.1347,13.3887
-7.5903,13.3008
-9.4854,10.7443
-9.8786,5.7192
-9.8967,0.9129
-10.2879,-2.5497
-10.5249,-0.2934
-9.1681,-0.2244
-6.1239,-4.5303
-4.7358,-7.7735
-5.5685,-4.9541
-6.4305,-0.5094
-6.0406,0.9041
-6.6214,0.4114
-5.921,1.5752
-4.2831,3.3016
-3.6453,4.3719
-3.2594,1.7547
-1.0904,3.2628
1.4847,9.3022
2.4348,12.5604
3.8223,8.9438
4.6474,5.0772
4.0662,5.4606
3.11,8.4691
0.6538,8.1652
0.5101,6.9551
2.335,8.6511
3.9725,8.2535
4.2057,4.4186
1.968,1.6464
1.4491,4.1242
0.9302,4.7273
-0.2763,3.3618
0.2673,2.809
0.5296,3.6624
-0.3331,4.2034
0.8667,3.7445
1.4707,1.1295
0.3578,-0.9853
-1.0364,-0.1311
-2.6182,1.9733
-3.6376,4.3591
-4.4989,3.7453
-5.6746,1.3193
-8.1315,2.0499
-10.5885,1.937
-10.4829,0.6053
-11.0025,-0.4764
-12.3053,0.6295
-11.9813,1.4853
-10.8742,0.2475
-9.2378,-0.5527
-7.2264,1.866
-5.9338,4.7536
-3.9224,2.7664
-1.6921,-0.0019
-1.212,-1.77
-0.2943,-0.1944
0.9358,3.4751
1.4157,5.1134
3.1769,6.5956
3.7173,9.4842
2.8554,9.9666
1.7727,10.4804
1.0649,10.3381
0.7945,10.4146
1.649,10.6787
3.6286,10.1305
4.7645,9.02
6.2752,7.816
7.161,6.3933
6.8279,2.1269
6.526,-1.6707
6.7865,-3.5618
7.1095,-3.8592
8.5262,-3.8441
10.566,0.4211
8.3889,2.2486
6.8993,2.295
6.5346,4.0915
6.4825,6.3882
5.9615,5.3727
3.7842,3.4511
2.7007,3.8108
1.1796,4.3266
-2.3415,2.78
-3.8626,2.0773
-5.1026,2.6247
-5.8426,1.1409
-5.8014,1.6571
-5.3853,3.7047
-6.4692,2.1588
-7.7718,-0.1679
-8.762,-1.5882
-8.4397,-3.1649
-6.8051,-5.8041
-5.7642,-6.5056
-5.2233,-7.9257
-3.3074,-10.3769
-1.5477,-9.6405
0.2744,-8.6854
1.8151,-9.73
2.0431,-9.5871
-0.5414,-11.5065
-1.3134,-11.9885
-1.6168,-9.9391
-2.1076,-9.7336
-3.3172,-10.1218
-2.5893,-9.8226
-0.8613,-7.6171
0.6791,-7.6615
0.9383,-7.6433
0.6348,-4.906
1.3312,-1.3874
1.9338,-2.4937
2.1613,-6.1625
2.2637,-4.2373
2.1162,0.2194
3.5312,2.8324
6.6025,2.3203
10.1736,0.9957
11.5571,3.3273
8.7218,2.0341
5.1989,-2.7903
3.0821,-3.4272
2.4654,0.3733
3.161,3.6738
3.0754,4.287
1.771,4.9316
1.1854,6.0139
-0.4939,8.7526
-0.7046,11.7726
-0.4779,12.2302
-1.0951,12.688
-3.056,8.802
-5.8294,1.4786
-7.0715,0.9989
-7.2824,4.8943
-6.3996,6.3521
-5.0169,6.8412
-5.0717,8.143
-4.6578,8.3199
-4.2128,4.5594
-2.9553,4.6426
-1.4166,6.8509
-2.878,6.3717
-3.6206,3.8925
-1.8007,0.1008
0.2067,-1.4721
-0.5984,-0.8261
-1.0891,-3.1486
-0.3004,-6.0335
0.1737,-5.137
0.2747,-2.3029
-0.2181,-2.4061
-0.211,-6.2902
1.5148,-8.018
0.8031,-3.7147
-0.2211,2.1199
-0.2746,5.267
0.5116,7.5079
0.0186,8.53
0.3066,7.052
0.2509,6.1991
0.9764,8.2526
1.1101,12.3374
1.2105,14.1411
1.4984,17.7572
1.0969,21.811
1.1992,23.5835
1.7039,23.8251
2.5856,25.9105
1.8753,27.4336
0.9755,26.363
0.7006,23.6989
1.9237,23.3786
2.0863,26.1209
1.0009,30.5506
0.8823,32.3866
-0.3303,33.4414
-1.3555,32.6526
-0.2888,30.2388
0.3736,32.2001
0.5048,32.9112
1.5734,32.3725
0.0482,30.2089
