CP1,CP2
5.3802,6.6084
2.9015,5.497
2.0477,5.1042
1.6001,4.8987
1.2774,2.537
1.4858,2.019
1.3818,1.4072
1.5277,0.8579
0.1423,-0.9413
0.0382,-1.053
0.7465,1.0541
-0.264,1.0986
-0.087,0.2682
-0.535,0.7502
-1.0768,2.4508
-1.0249,2.7452
-0.0667,1.9457
-1.5773,2.3337
-4.0567,1.9404
-4.3486,2.2345
-3.7344,2.841
-3.589,3.5724
-3.7873,3.8663
-3.5794,3.379
-3.2465,1.7666
-1.3824,1.5917
-2.0182,1.2294
-3.4978,0.117
-3.9462,-0.0891
-4.3009,-0.0766
-4.8119,0.5922
-5.8539,1.261
-6.7085,0.4611
-5.9695,-1.3389
-6.7304,-2.0139
-7.0227,-1.6577
-4.3464,-2.1453
-3.0138,-2.1016
-3.2438,-1.933
-1.5676,-1.7645
1.0462,-0.2834
1.41,0.4788
1.8675,0.366
2.0438,-0.0593
0.8762,-0.8596
0.4586,-0.5036
0.8535,0.3523
2.4358,1.8956
4.1118,2.7827
4.2564,2.076
2.4322,1.088
-1.3294,2.1936
-3.0598,2.0492
-0.259,0.311
2.5104,0.3853
3.2171,0.3345
1.9239,-0.8101
0.4431,-0.8923
0.2123,-0.4744
-0.2684,-0.1816
-0.5617,0.0175
-2.7612,-0.6273
-6.1482,-1.8345
-8.7228,-3.4792
-10.0162,-3.9052
-10.5595,-3.9562
-10.0716,-5.3196
-10.4276,-5.7769
-10.1273,-5.5154
-9.4209,-5.129
-9.4334,-4.2113
-8.696,-2.8563
-6.1773,-1.2826
-3.3149,-1.7402
-3.5776,-1.229
-1.8716,0.3445
1.1155,-0.082
0.3528,0.2415
0.3714,0.9088
0.4525,-0.049
-1.2792,-1.6317
-3.5423,-1.4645
-3.4615,-0.4535
-3.0059,-1.4427
-3.4253,-1.9631
-2.6884,-1.5148
-2.7328,-2.5977
-2.0586,-3.337
-0.4781,-2.7639
1.8837,-1.7846
1.9329,-2.0866
-0.4868,-1.6699
-0.8755,0.3092
-0.7954,2.007
-0.434,2.2048
1.0835,2.8713
3.1948,3.4752
3.681,2.9229
4.4795,3.3393
7.3091,4.4431
8.8885,4.0157
7.7491,3.2445
6.5784,3.567
5.6263,2.577
3.8304,1.4307
0.2534,0.1907
-3.0112,-0.9869
-5.7134,-1.1957
-8.0719,-2.4046
-8.5241,-3.0823
-8.2264,-2.4163
-8.6476,-1.3441
-7.725,-1.4907
-4.6775,-2.0436
-4.9738,-1.0026
-8.8638,-0.0242
-10.9101,-0.0771
-9.8628,-0.0362
-10.2843,0.3484
-11.4871,0.7018
-11.4085,1.7113
-9.7049,2.2209
-8.6577,2.2929
-8.5167,2.9899
-7.0319,3.0305
-4.6409,2.5087
-4.0937,2.7368
-3.2026,2.5586
-1.1241,1.9428
-1.2645,1.0145
-1.4362,0.9925
-0.9831,0.0642
0.1263,-0.8955
-0.1709,-1.0427
-1.2493,-1.4713
-0.859,-1.1187
0.0625,0.1714
0.7966,1.4301
1.7806,2.2514
1.4207,2.6976
-0.8454,1.8939
-0.8303,0.9027
0.091,1.1614
2.4186,3.3265
2.8085,3.8979
2.3547,3.3755
2.8384,3.2594
4.1658,3.6745
5.9306,3.9646
5.9456,2.7235
7.148,3.5761
6.069,4.1787
1.6149,4.4999
0.0357,4.9773
-0.7311,4.4548
-3.2479,2.3698
-5.4524,0.5348
-6.7507,-0.4878
-6.9239,-1.5103
-9.0346,-3.3454
-12.8329,-4.6805
-13.225,-4.6094
-11.9922,-4.6633
-13.1032,-3.8111
-13.9017,-3.2401
-14.3877,-3.2943
-13.5924,-4.0673
-13.2659,-3.7153
-15.2206,-3.7384
-16.3941,-3.6364
-16.6301,-4.0658
-16.0224,-3.5889
-14.3835,-3.987
-12.0573,-2.9165
-9.356,-1.6898
-7.9986,-2.4006
-7.204,-2.674
-5.347,-3.4786
-4.9586,-4.127
-4.0391,-4.3067
-0.9008,-3.8926
2.4875,-2.6035
1.9695,-2.6894
0.9829,-1.2753
2.1837,0.4512
2.1969,1.3028
3.4914,1.4982
5.6923,1.3497
6.2681,1.92
5.2813,1.2403
5.7631,-0.627
9.151,-1.0881
7.4139,-1.4556
3.1141,-1.6668
3.3455,-1.2531
3.6394,-1.9956
2.7143,-3.1132
2.6954,-3.2621
3.3014,-3.4735
2.8761,-4.1848
2.6383,-4.1773
2.6191,-2.7324
2.0374,-1.7251
1.5495,-2.2178
1.2492,-1.8667
3.1052,-1.2032
5.4612,-1.3834
4.3484,-1.7824
2.7355,-1.3063
3.3726,-1.9554
5.1659,-3.1983
1.3342,-2.9725
-3.8101,-2.6842
-5.6418,-1.9897
-7.4736,-0.5765
-10.1493,0.8366
-12.2938,0.3122
-12.5946,0.7565
-13.1766,0.8571
-12.5399,1.1765
-12.2157,0.2459
-12.7667,-0.6848
-12.8491,-1.5529
-12.1502,-2.2648
-11.2638,-1.4454
-12.3148,0.9051
-13.3346,1.8182
-11.7607,0.7625
-7.0618,0.488
-5.613,-0.0678
-3.8829,-0.7486
